Order Date,Category,Website,Condition,List Price Per Unit,Purchase Price Per Unit,Quantity,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
3/7/19,Health and Beauty,Amazon.com,new,$6.90 ,$5.90 ,1,$5.90 ,$0.35 ,$6.25 ,,,,USD,
3/8/19,Health and Beauty,Amazon.com,new,$0.00 ,$9.35 ,1,$9.35 ,$0.00 ,$9.35 ,,,,USD,
3/8/19,,Amazon.com,new,$0.00 ,$12.95 ,1,$12.95 ,$0.00 ,$12.95 ,,,,USD,
3/8/19,Apparel,Amazon.com,new,$0.00 ,$15.99 ,1,$15.99 ,$0.00 ,$15.99 ,,,,USD,
3/8/19,Health and Beauty,Amazon.com,new,$0.00 ,$13.99 ,1,$13.99 ,$0.00 ,$13.99 ,,,,USD,
3/13/19,Hardcover,Amazon.com,new,$22.95 ,$12.79 ,1,$12.79 ,$0.96 ,$13.75 ,,,,USD,
3/13/19,Wine,Amazon.com,new,$0.00 ,$17.48 ,1,$17.48 ,$0.00 ,$17.48 ,,,,USD,
3/13/19,Wine,Amazon.com,new,$0.00 ,$18.78 ,1,$18.78 ,$1.41 ,$20.19 ,,,,USD,
3/13/19,Hardcover,Amazon.com,used verygood,$18.99 ,$9.42 ,1,$9.42 ,$0.57 ,$9.99 ,,,,USD,
3/13/19,Kitchen,Amazon.com,new,$59.95 ,$52.95 ,1,$52.95 ,$3.18 ,$56.13 ,,,,USD,
3/13/19,Paperback,Amazon.com,used verygood,$16.99 ,$10.98 ,1,$10.98 ,$0.00 ,$10.98 ,,,,USD,
3/13/19,Hardcover,Amazon.com,new,$25.99 ,$12.99 ,1,$12.99 ,$0.78 ,$13.77 ,,,,USD,
3/13/19,Grocery,Amazon.com,new,$0.00 ,$5.48 ,1,$5.48 ,$0.00 ,$5.48 ,,,,USD,
3/18/19,Baby Product,Amazon.com,new,$0.00 ,$99.95 ,1,$99.95 ,$6.00 ,$105.95 ,,,,USD,
3/18/19,Kitchen,Amazon.com,new,$269.99 ,$69.99 ,1,$69.99 ,$0.00 ,$69.99 ,,,,USD,
3/20/19,Kitchen,Amazon.com,new,$18.00 ,$18.00 ,1,$18.00 ,$1.08 ,$19.08 ,,,,USD,
3/24/19,Health and Beauty,Amazon.com,new,$22.99 ,$17.99 ,1,$17.99 ,$0.00 ,$17.99 ,,,,USD,
3/24/19,Grocery,Amazon.com,new,$16.98 ,$16.98 ,1,$16.98 ,$1.02 ,$18.00 ,,,,USD,
3/24/19,,Amazon.com,new,$0.00 ,$7.99 ,1,$7.99 ,$0.00 ,$7.99 ,,,,USD,
3/31/19,Health and Beauty,Amazon.com,new,$12.00 ,$10.49 ,1,$10.49 ,$0.00 ,$10.49 ,,,,USD,
3/31/19,Misc.,Amazon.com,new,$0.00 ,$9.28 ,1,$9.28 ,$0.00 ,$9.28 ,,,,USD,
3/31/19,Kitchen,Amazon.com,new,$20.99 ,$20.74 ,1,$20.74 ,$1.24 ,$21.98 ,,,,USD,
3/31/19,Hardcover,Amazon.com,used verygood,$27.99 ,$17.85 ,1,$17.85 ,$0.00 ,$17.85 ,,,,USD,
3/31/19,Hardcover,Amazon.com,new,$26.99 ,$18.89 ,1,$18.89 ,$1.13 ,$20.02 ,,,,USD,
4/7/19,Electronics,Amazon.com,new,$0.00 ,$29.99 ,1,$29.99 ,$0.00 ,$29.99 ,,,,USD,
4/8/19,Hardcover,Amazon.com,new,$19.99 ,$13.99 ,1,$13.99 ,$0.84 ,$14.83 ,FALSE,,FALSE,USD,
4/13/19,Kitchen,Amazon.com,new,$0.00 ,$39.99 ,1,$39.99 ,$0.00 ,$39.99 ,,,,USD,
4/13/19,Lawn & Patio,Amazon.com,new,$0.00 ,$27.99 ,1,$27.99 ,$0.00 ,$27.99 ,,,,USD,
4/14/19,Kitchen,Amazon.com,new,$0.00 ,$11.94 ,1,$11.94 ,$1.06 ,$13.00 ,,,,USD,
4/14/19,Kitchen,Amazon.com,new,$29.95 ,$29.95 ,1,$29.95 ,$2.66 ,$32.61 ,,,,USD,
4/17/19,Apparel,Amazon.com,new,$29.97 ,$23.97 ,1,$23.97 ,$0.00 ,$23.97 ,,,,USD,
4/17/19,Grocery,Amazon.com,new,$0.00 ,$16.99 ,1,$16.99 ,$0.00 ,$16.99 ,,,,USD,
4/17/19,Apparel,Amazon.com,new,$0.00 ,$10.00 ,1,$10.00 ,$0.00 ,$10.00 ,,,,USD,
4/17/19,Apparel,Amazon.com,new,$0.00 ,$24.99 ,1,$24.99 ,$0.00 ,$24.99 ,,,,USD,
4/27/19,Misc.,Amazon.com,new,$35.00 ,$12.42 ,1,$12.42 ,$0.00 ,$12.42 ,,,,USD,
4/27/19,Health and Beauty,Amazon.com,new,$23.97 ,$21.12 ,1,$21.12 ,$0.00 ,$21.12 ,,,,USD,
4/27/19,Tools & Home Improvement,Amazon.com,new,$120.92 ,$57.17 ,1,$57.17 ,$3.43 ,$60.60 ,,,,USD,
4/29/19,Health and Beauty,Amazon.com,new,$0.00 ,$9.45 ,1,$9.45 ,$0.00 ,$9.45 ,,,,USD,
4/30/19,Personal Computers,Amazon.com,new,$0.00 ,$39.99 ,1,$39.99 ,$0.00 ,$39.99 ,,,,USD,
4/30/19,Office Product,Amazon.com,new,$72.50 ,$47.99 ,1,$47.99 ,$0.00 ,$47.99 ,,,,USD,
5/6/19,Health and Beauty,Amazon.com,new,$24.61 ,$24.61 ,1,$24.61 ,$0.00 ,$24.61 ,,,,USD,
